dt,temp,temp_min,temp_max,humidity,snowfall
1990-01-01,48.73,48.73,48.73,71.79,0.0
1990-01-02,49.51,49.51,49.51,81.71,0.0
1990-01-03,50.3,50.3,50.3,75.5,0.0
1990-01-04,47.45,47.45,47.45,80.33,0.0
1990-01-05,44.14,44.14,44.14,79.08,0.0
1990-01-06,49.18,49.18,49.18,79.83,0.0
1990-01-07,51.69,51.69,51.69,72.33,0.0
1990-01-08,47.38,47.38,47.38,82.33,0.0
1990-01-09,42.83,42.83,42.83,94.04,0.0
1990-01-10,54.25,54.25,54.25,74.79,0.0
1990-01-11,53.31,53.31,53.31,80.75,0.0
1990-01-12,52.57,52.57,52.57,84.96,0.0
1990-01-13,53.89,53.89,53.89,75.42,0.0
1990-01-14,51.29,51.29,51.29,80.58,0.0
1990-01-15,47.25,47.25,47.25,73.08,0.0
1990-01-16,53.07,53.07,53.07,74.38,0.0
1990-01-17,49.93,49.93,49.93,81.58,0.0
1990-01-18,47.44,47.44,47.44,76.88,0.0
1990-01-19,50.64,50.64,50.64,77.62,0.0
1990-01-20,57.24,57.24,57.24,75.21,0.0
1990-01-21,56.57,56.57,56.57,85.0,0.0
1990-01-22,47.69,47.69,47.69,89.96,0.0
1990-01-23,50.87,50.87,50.87,78.08,0.0
1990-01-24,55.37,55.37,55.37,69.96,0.0
1990-01-25,58.88,58.88,58.88,83.75,0.0
1990-01-26,56.24,56.24,56.24,85.54,0.0
1990-01-27,59.05,59.05,59.05,69.42,0.0
1990-01-28,59.11,59.11,59.11,81.29,0.0
1990-01-29,53.74,53.74,53.74,81.12,0.0
1990-01-30,52.39,52.39,52.39,72.79,0.0
1990-01-31,56.0,56.0,56.0,53.5,0.0
1990-02-01,63.27,63.27,63.27,66.5,0.0
1990-02-02,61.93,61.93,61.93,68.88,0.0
1990-02-03,61.36,61.36,61.36,83.04,0.0
1990-02-04,58.62,58.62,58.62,73.5,0.0
1990-02-05,59.67,59.67,59.67,80.75,0.0
1990-02-06,60.59,60.59,60.59,82.12,0.0
1990-02-07,49.53,49.53,49.53,89.96,0.0
1990-02-08,45.63,45.63,45.63,93.38,0.0
1990-02-09,56.36,56.36,56.36,84.17,0.0
1990-02-10,55.54,55.54,55.54,84.54,0.0
1990-02-11,54.27,54.27,54.27,86.33,0.0
1990-02-12,48.56,48.56,48.56,92.33,0.0
1990-02-13,57.42,57.42,57.42,82.75,0.0
1990-02-14,57.62,57.62,57.62,86.33,0.0
1990-02-15,57.72,57.72,57.72,87.12,0.0
1990-02-16,58.19,58.19,58.19,87.46,0.0
1990-02-17,57.85,57.85,57.85,85.67,0.0
1990-02-18,56.18,56.18,56.18,85.25,0.0
1990-02-19,57.07,57.07,57.07,83.75,0.0
1990-02-20,53.51,53.51,53.51,74.04,0.0
1990-02-21,52.31,52.31,52.31,83.71,0.0
1990-02-22,55.73,55.73,55.73,75.04,0.0
1990-02-23,55.03,55.03,55.03,79.83,0.0
1990-02-24,53.62,53.62,53.62,83.33,0.0
1990-02-25,51.44,51.44,51.44,80.83,0.0
1990-02-26,44.14,44.14,44.14,90.46,0.0
1990-02-27,45.56,45.56,45.56,81.12,0.0
1990-02-28,50.62,50.62,50.62,82.12,0.0
1990-03-01,50.97,50.97,50.97,78.42,0.0
1990-03-02,50.65,50.65,50.65,77.12,0.0
1990-03-03,49.97,49.97,49.97,81.04,0.0
1990-03-04,52.01,52.01,52.01,81.42,0.0
1990-03-05,51.62,51.62,51.62,77.58,0.0
1990-03-06,51.75,51.75,51.75,80.04,0.0
1990-03-07,55.8,55.8,55.8,80.33,0.0
1990-03-08,55.88,55.88,55.88,88.58,0.0
1990-03-09,60.23,60.23,60.23,89.96,0.0
1990-03-10,55.7,55.7,55.7,81.88,0.0
1990-03-11,54.87,54.87,54.87,76.46,0.0
1990-03-12,54.76,54.76,54.76,89.29,0.0
1990-03-13,44.23,44.23,44.23,97.25,0.0
1990-03-14,48.72,48.72,48.72,81.21,0.0
1990-03-15,51.2,51.2,51.2,80.42,0.0
1990-03-16,46.44,46.44,46.44,89.92,0.0
1990-03-17,52.27,52.27,52.27,80.38,0.0
1990-03-18,52.61,52.61,52.61,71.79,0.0
1990-03-19,52.12,52.12,52.12,92.71,0.0
1990-03-20,48.04,48.04,48.04,90.29,0.0
1990-03-21,51.72,51.72,51.72,82.75,0.0
1990-03-22,38.11,38.11,38.11,86.25,0.0
1990-03-23,37.62,37.62,37.62,78.0,0.0
1990-03-24,46.35,46.35,46.35,81.33,0.0
1990-03-25,43.04,43.04,43.04,94.71,0.0
1990-03-26,50.86,50.86,50.86,77.54,0.0
1990-03-27,55.7,55.7,55.7,79.38,0.0
1990-03-28,52.9,52.9,52.9,78.67,0.0
1990-03-29,48.25,48.25,48.25,85.17,0.0
1990-03-30,44.65,44.65,44.65,82.25,0.0
1990-03-31,44.91,44.91,44.91,79.96,0.0
1990-04-01,49.0,49.0,49.0,82.79,0.0
1990-04-02,43.27,43.27,43.27,81.62,0.0
1990-04-03,43.1,43.1,43.1,84.92,0.0
1990-04-04,42.26,42.26,42.26,86.46,0.0
1990-04-05,49.75,49.75,49.75,83.75,0.0
1990-04-06,53.1,53.1,53.1,80.71,0.0
1990-04-07,50.35,50.35,50.35,83.04,0.0
1990-04-08,46.57,46.57,46.57,93.29,0.0
1990-04-09,46.03,46.03,46.03,93.5,0.0
1990-04-10,47.22,47.22,47.22,87.88,0.0
1990-04-11,47.57,47.57,47.57,85.62,0.0
1990-04-12,46.23,46.23,46.23,85.04,0.0
1990-04-13,47.12,47.12,47.12,83.83,0.0
1990-04-14,53.32,53.32,53.32,82.42,0.0
1990-04-15,53.9,53.9,53.9,82.42,0.0
1990-04-16,46.48,46.48,46.48,84.88,0.0
1990-04-17,41.55,41.55,41.55,80.54,0.0
1990-04-18,31.72,31.72,31.72,72.0,0.0
1990-04-19,41.17,41.17,41.17,86.92,0.0
1990-04-20,40.58,40.58,40.58,79.42,0.0
1990-04-21,31.88,31.88,31.88,53.04,0.0
1990-04-22,37.59,37.59,37.59,71.46,0.0
1990-04-23,41.49,41.49,41.49,94.46,0.0
1990-04-24,46.97,46.97,46.97,98.29,0.0
1990-04-25,47.38,47.38,47.38,95.54,0.0
1990-04-26,47.87,47.87,47.87,88.0,0.0
1990-04-27,49.38,49.38,49.38,87.62,0.0
1990-04-28,47.64,47.64,47.64,85.96,0.0
1990-04-29,44.18,44.18,44.18,87.17,0.0
1990-04-30,45.3,45.3,45.3,91.33,0.0
1990-05-01,41.47,41.47,41.47,97.04,0.0
1990-05-02,46.78,46.78,46.78,85.17,0.0
