dt,temp,temp_min,temp_max,humidity,snowfall
1990-01-01,16.66,15.24,18.03,89.33,0.0
1990-01-02,17.54,14.36,21.16,86.83,0.0
1990-01-03,19.62,17.89,23.17,89.96,0.0
1990-01-04,19.1,17.63,21.53,85.96,1.48
1990-01-05,16.52,14.75,19.98,81.33,0.36
1990-01-06,20.73,18.79,24.51,89.83,5.63
1990-01-07,20.14,18.77,22.88,84.0,0.21
1990-01-08,24.91,24.54,25.73,80.38,0.0
1990-01-09,33.15,32.63,34.29,87.12,0.39
1990-01-10,29.4,28.28,30.68,88.62,20.65
1990-01-11,11.25,10.7,11.83,78.5,0.0
1990-01-12,21.89,20.63,24.04,88.5,7.65
1990-01-13,12.5,11.26,15.29,81.33,2.02
1990-01-14,12.86,11.58,16.1,81.08,1.04
1990-01-15,10.01,9.2,12.1,80.33,0.77
1990-01-16,11.17,10.12,13.93,82.04,0.0
1990-01-17,11.75,10.47,14.64,83.75,0.0
1990-01-18,21.32,20.86,22.41,84.12,4.61
1990-01-19,18.65,17.77,20.63,83.17,2.52
1990-01-20,8.85,7.93,10.96,78.5,0.46
1990-01-21,10.06,9.13,12.64,78.29,0.52
1990-01-22,13.59,12.69,14.85,83.5,5.02
1990-01-23,5.05,4.87,5.35,81.67,0.0
1990-01-24,7.86,5.85,9.36,76.46,0.0
1990-01-25,8.43,7.19,11.26,78.79,2.45
1990-01-26,5.58,4.05,6.95,75.67,0.0
1990-01-27,4.46,1.29,6.44,62.96,0.0
1990-01-28,10.87,8.49,13.98,74.75,0.42
1990-01-29,14.46,13.47,15.97,86.38,0.78
1990-01-30,7.26,6.33,9.31,78.33,0.0
1990-01-31,8.51,6.01,12.45,83.92,0.0
1990-02-01,10.22,9.49,11.61,82.62,0.0
1990-02-02,18.42,17.99,19.27,78.12,0.0
1990-02-03,23.61,22.35,25.36,86.29,5.26
1990-02-04,15.53,15.33,16.07,74.25,0.0
1990-02-05,16.7,16.03,17.44,76.12,0.0
1990-02-06,23.92,21.45,26.11,79.75,0.1
1990-02-07,25.23,23.76,27.66,82.17,0.98
1990-02-08,21.77,19.93,24.73,83.54,0.26
1990-02-09,19.1,18.28,20.06,78.83,0.0
1990-02-10,28.48,27.66,30.52,83.5,2.33
1990-02-11,32.52,31.53,34.13,88.33,5.82
1990-02-12,23.16,22.09,25.97,80.67,5.64
1990-02-13,17.95,16.94,20.51,81.58,2.96
1990-02-14,16.15,15.4,17.97,77.92,0.0
1990-02-15,21.37,20.49,22.27,71.71,0.0
1990-02-16,24.97,23.89,25.96,68.67,0.0
1990-02-17,24.71,23.99,26.15,83.58,0.15
1990-02-18,18.99,18.63,19.32,72.75,0.0
1990-02-19,24.96,22.96,26.93,78.62,0.19
1990-02-20,34.12,33.11,36.06,90.21,13.21
1990-02-21,33.82,33.32,34.45,89.79,2.62
1990-02-22,33.63,32.67,34.57,89.0,0.0
1990-02-23,36.19,33.94,38.19,89.79,0.38
1990-02-24,33.52,31.43,35.96,92.42,1.32
1990-02-25,30.88,29.09,32.21,87.67,5.11
1990-02-26,22.38,22.14,22.96,81.92,0.0
1990-02-27,21.89,20.38,23.74,81.88,0.0
1990-02-28,21.64,20.8,23.84,73.58,0.0
1990-03-01,24.71,22.81,27.11,79.25,0.11
1990-03-02,24.97,20.11,27.93,65.21,0.0
1990-03-03,29.82,28.11,31.6,77.12,1.0
1990-03-04,31.53,30.88,32.53,81.62,0.28
1990-03-05,28.24,26.95,30.74,82.21,2.36
1990-03-06,28.14,27.26,29.96,74.25,0.8
1990-03-07,31.16,30.26,32.62,84.96,3.08
1990-03-08,24.78,23.98,26.38,76.88,1.53
1990-03-09,29.02,27.16,30.38,67.62,0.0
1990-03-10,33.09,32.23,34.4,64.58,0.0
1990-03-11,39.92,38.93,41.48,69.17,0.0
1990-03-12,31.93,29.93,34.32,88.25,8.72
1990-03-13,22.19,21.0,23.92,75.83,1.06
1990-03-14,28.49,27.84,29.42,72.04,0.0
1990-03-15,29.41,29.15,29.92,69.88,0.0
1990-03-16,29.3,28.97,29.66,73.0,0.0
1990-03-17,30.74,30.14,31.53,60.75,0.0
1990-03-18,33.09,32.3,34.42,62.88,0.0
1990-03-19,38.11,37.35,39.32,68.17,0.75
1990-03-20,32.03,30.75,34.43,84.46,1.55
1990-03-21,32.27,31.77,33.12,60.83,0.0
1990-03-22,32.13,31.02,33.7,69.25,0.0
1990-03-23,36.83,36.34,37.83,77.96,1.3
1990-03-24,29.53,28.48,31.67,79.08,3.01
1990-03-25,23.34,22.47,25.15,77.25,0.22
1990-03-26,26.36,25.69,28.07,78.58,1.51
1990-03-27,32.41,31.5,34.0,68.83,0.0
1990-03-28,35.06,34.45,35.97,60.5,0.0
1990-03-29,34.55,32.93,36.94,65.33,0.0
1990-03-30,38.06,36.38,41.08,65.21,0.0
1990-03-31,44.28,43.3,46.29,69.46,0.0
1990-04-01,44.12,42.99,46.04,76.42,0.0
1990-04-02,37.82,36.6,39.05,80.83,0.0
1990-04-03,46.43,45.6,47.7,62.58,0.0
1990-04-04,34.27,32.27,36.73,91.33,5.22
1990-04-05,30.01,29.17,31.92,81.33,4.72
1990-04-06,33.45,32.05,35.85,76.38,0.55
1990-04-07,47.01,45.96,49.01,65.5,0.0
1990-04-08,39.62,38.7,41.59,79.5,1.96
1990-04-09,38.4,37.34,40.74,67.21,0.0
1990-04-10,39.46,37.96,41.63,52.96,0.0
1990-04-11,48.04,46.12,52.4,55.75,0.0
1990-04-12,50.14,48.75,52.02,55.92,0.0
1990-04-13,40.46,38.87,43.48,68.42,0.0
1990-04-14,36.91,36.09,38.09,68.25,0.0
1990-04-15,33.91,32.96,35.57,68.96,0.0
1990-04-16,34.2,32.99,37.02,74.62,0.0
1990-04-17,33.49,32.99,34.48,71.71,0.0
1990-04-18,36.09,34.48,38.59,67.79,0.0
1990-04-19,38.64,36.5,41.67,66.71,0.0
1990-04-20,42.15,40.39,44.08,73.62,0.0
1990-04-21,42.06,40.8,43.92,76.04,0.0
1990-04-22,46.71,45.06,49.39,84.5,0.0
1990-04-23,43.97,42.65,46.3,88.88,0.0
1990-04-24,39.1,37.91,41.69,64.12,0.0
1990-04-25,49.86,48.6,52.03,67.5,0.0
1990-04-26,48.69,47.15,50.38,71.67,0.0
1990-04-27,46.95,45.35,49.62,38.21,0.0
1990-04-28,48.62,47.24,50.31,83.67,0.0
1990-04-29,47.44,45.42,49.88,71.21,0.0
1990-04-30,39.2,36.94,41.81,83.33,0.0
1990-05-01,41.42,39.7,44.09,72.54,0.0
1990-05-02,45.34,43.99,46.46,70.42,0.0
1990-05-03,45.44,43.93,46.89,74.21,0.0
1990-05-04,48.39,47.52,50.01,85.17,0.0
1990-05-05,45.89,45.13,46.65,92.08,0.0
1990-05-06,54.62,53.31,57.04,72.92,0.0
1990-05-07,56.83,55.07,59.55,60.67,0.0
1990-05-08,54.64,54.17,55.41,78.21,0.0
1990-05-09,56.83,55.91,58.56,70.54,0.0
1990-05-10,53.07,52.46,54.18,83.33,0.0
1990-05-11,60.76,59.15,63.85,72.79,0.0
1990-05-12,56.69,55.29,58.5,85.12,0.0
1990-05-13,53.92,53.35,55.14,73.83,0.0
1990-05-14,47.93,46.34,49.37,87.5,0.0
1990-05-15,42.06,41.1,43.14,83.83,0.0
1990-05-16,46.63,45.89,47.57,65.96,0.0
1990-05-17,58.02,56.55,60.7,61.62,0.0
1990-05-18,58.54,57.2,61.44,71.5,0.0
1990-05-19,51.9,51.04,53.64,88.46,0.0
1990-05-20,55.23,54.78,56.09,84.92,0.0
1990-05-21,53.76,52.63,55.75,83.33,0.0
1990-05-22,44.13,43.59,45.27,87.79,0.0
1990-05-23,40.13,39.54,41.39,80.92,0.0
1990-05-24,50.09,48.95,52.8,67.04,0.0
1990-05-25,52.15,51.23,54.12,75.92,0.0
1990-05-26,60.2,59.32,61.65,69.21,0.0
1990-05-27,61.29,59.41,63.11,53.38,0.0
1990-05-28,59.72,58.56,61.44,51.79,0.0
1990-05-29,59.78,59.45,60.65,55.38,0.0
1990-05-30,60.78,60.12,61.98,67.88,0.0
1990-05-31,62.27,61.22,63.72,69.12,0.0
1990-06-01,58.39,56.94,60.36,86.42,0.0
1990-06-02,56.1,55.5,57.14,91.21,0.0
1990-06-03,51.51,50.85,53.05,91.04,0.0
1990-06-04,52.27,51.64,53.7,81.5,0.0
1990-06-05,52.82,51.91,54.73,77.12,0.0
