dt,temp,temp_min,temp_max,humidity,snowfall
1990-01-01,51.52,42.37,65.42,57.54,0.0
1990-01-02,50.55,39.14,69.13,57.04,0.0
1990-01-03,52.62,43.07,68.73,59.42,0.0
1990-01-04,53.63,42.83,71.49,56.33,0.0
1990-01-05,54.17,44.52,70.89,61.54,0.0
1990-01-06,56.18,49.54,67.8,64.29,0.0
1990-01-07,54.28,44.98,70.41,59.33,0.0
1990-01-08,56.46,48.3,71.06,57.54,0.0
1990-01-09,55.07,46.11,70.53,63.25,0.0
1990-01-10,53.22,43.48,70.86,68.79,0.0
1990-01-11,52.3,42.86,68.87,70.25,0.0
1990-01-12,50.3,41.43,64.44,73.0,0.0
1990-01-13,54.12,47.93,62.89,59.54,0.0
1990-01-14,52.17,42.58,66.24,55.42,0.0
1990-01-15,52.03,41.55,68.27,59.25,0.0
1990-01-16,46.04,36.66,61.63,74.79,0.0
1990-01-17,41.51,30.75,57.55,61.29,0.0
1990-01-18,46.84,35.97,64.56,45.88,0.0
1990-01-19,50.4,40.52,66.0,53.79,0.0
1990-01-20,56.46,50.37,66.2,51.96,0.0
1990-01-21,52.54,44.97,64.85,58.58,0.0
1990-01-22,55.56,49.89,65.03,63.08,0.0
1990-01-23,49.96,39.95,66.33,63.88,0.0
1990-01-24,54.37,46.45,66.75,60.21,0.0
1990-01-25,55.16,47.46,68.07,58.12,0.0
1990-01-26,55.19,47.28,69.55,63.04,0.0
1990-01-27,52.63,43.94,69.41,65.25,0.0
1990-01-28,54.12,46.3,69.19,63.62,0.0
1990-01-29,56.94,51.87,66.86,62.79,0.0
1990-01-30,57.34,52.68,66.39,58.83,0.0
1990-01-31,57.08,51.2,69.15,54.67,0.0
1990-02-01,54.74,45.91,72.55,52.46,0.0
1990-02-02,52.7,43.34,70.66,55.54,0.0
1990-02-03,57.62,51.48,68.64,44.58,0.0
1990-02-04,59.54,53.83,69.82,43.04,0.0
1990-02-05,57.99,49.45,74.63,51.29,0.0
1990-02-06,55.91,45.84,74.73,61.79,0.0
1990-02-07,54.17,45.56,70.14,73.92,0.0
1990-02-08,52.3,43.89,67.69,69.96,0.0
1990-02-09,53.0,46.69,63.71,67.96,0.0
1990-02-10,50.87,42.49,66.28,65.75,0.0
1990-02-11,50.1,39.95,67.02,59.5,0.0
1990-02-12,53.12,45.05,66.66,53.08,0.0
1990-02-13,50.97,43.08,64.16,61.12,0.0
1990-02-14,48.33,39.48,63.43,65.33,0.0
1990-02-15,49.42,40.01,64.33,61.67,0.0
1990-02-16,51.8,44.81,63.49,68.25,0.0
1990-02-17,53.96,49.38,61.71,66.88,0.0
1990-02-18,50.58,43.31,64.13,73.58,0.0
1990-02-19,51.6,44.5,64.27,70.29,0.0
1990-02-20,50.92,41.84,66.74,64.79,0.0
1990-02-21,51.17,42.02,66.61,59.58,0.0
1990-02-22,50.88,40.6,67.52,58.25,0.0
1990-02-23,51.42,42.96,65.06,63.79,0.0
1990-02-24,49.37,39.92,64.16,61.12,0.0
1990-02-25,48.26,38.52,64.17,57.21,0.0
1990-02-26,50.01,41.72,65.09,60.42,0.0
1990-02-27,47.96,39.0,65.57,78.46,0.0
1990-02-28,44.78,36.06,60.08,76.38,0.0
1990-03-01,47.56,38.44,62.18,56.92,0.0
1990-03-02,50.84,41.84,66.23,49.88,0.0
1990-03-03,49.78,40.53,66.52,55.88,0.0
1990-03-04,55.71,50.41,65.04,57.75,0.0
1990-03-05,47.38,37.69,63.58,62.0,0.0
1990-03-06,46.77,36.97,63.74,59.42,0.0
1990-03-07,51.14,43.13,65.7,58.21,0.0
1990-03-08,48.02,39.06,64.38,58.92,0.0
1990-03-09,50.77,41.69,68.01,53.62,0.0
1990-03-10,53.82,44.28,72.38,48.88,0.0
1990-03-11,55.12,47.09,70.95,57.08,0.0
1990-03-12,52.88,44.21,69.27,61.58,0.0
1990-03-13,53.29,44.34,68.7,57.12,0.0
1990-03-14,49.94,39.14,67.25,54.08,0.0
1990-03-15,48.02,37.69,64.34,51.75,0.0
1990-03-16,50.11,41.91,62.73,52.58,0.0
1990-03-17,46.28,36.4,62.16,54.12,0.0
1990-03-18,44.96,34.24,63.32,55.83,0.0
1990-03-19,50.97,43.44,63.95,55.29,0.0
1990-03-20,49.64,39.88,67.7,48.54,0.0
1990-03-21,51.92,43.74,67.16,60.92,0.0
1990-03-22,47.23,39.88,60.42,80.58,0.0
1990-03-23,49.86,43.87,59.58,55.12,0.0
1990-03-24,46.75,38.67,59.07,52.21,0.0
1990-03-25,45.43,37.5,56.64,57.75,0.0
1990-03-26,41.88,31.98,57.02,54.79,0.0
1990-03-27,43.41,34.28,58.6,48.71,0.0
1990-03-28,36.96,25.4,54.96,63.42,0.11
1990-03-29,37.94,28.83,51.76,87.33,11.49
1990-03-30,36.9,26.23,49.82,73.04,3.2
1990-03-31,46.94,40.55,53.84,58.96,0.0
1990-04-01,43.97,33.08,56.97,60.75,0.0
1990-04-02,44.87,33.43,58.55,63.71,0.0
1990-04-03,39.96,26.02,56.68,78.46,0.0
1990-04-04,42.23,31.91,53.01,72.88,0.0
1990-04-05,39.69,30.56,49.87,72.71,0.0
1990-04-06,39.21,29.29,49.01,63.83,0.0
1990-04-07,41.14,29.19,54.92,65.88,0.0
1990-04-08,40.5,26.97,56.84,57.04,0.0
1990-04-09,48.61,41.67,57.32,57.46,0.0
1990-04-10,46.12,35.66,59.25,48.62,0.0
1990-04-11,46.29,36.2,60.09,46.5,0.0
1990-04-12,46.7,40.34,54.93,58.25,0.0
1990-04-13,43.6,32.75,57.06,59.75,0.0
1990-04-14,43.52,32.81,57.43,60.92,0.0
1990-04-15,44.04,35.77,55.59,68.83,0.0
1990-04-16,37.72,26.33,55.66,87.42,1.56
1990-04-17,37.71,26.4,54.53,73.25,0.0
1990-04-18,42.76,32.04,56.81,67.25,0.0
1990-04-19,36.54,22.46,53.27,74.88,0.0
1990-04-20,37.73,25.9,53.6,72.83,0.0
1990-04-21,40.2,32.18,49.65,71.58,0.0
1990-04-22,36.15,23.29,51.29,71.25,0.0
1990-04-23,31.61,16.94,48.58,77.33,1.71
1990-04-24,41.99,35.83,50.88,80.58,2.27
1990-04-25,34.18,24.65,46.09,84.25,7.42
1990-04-26,25.23,11.37,39.29,75.83,0.2
1990-04-27,29.39,17.99,41.83,58.67,0.0
1990-04-28,29.47,18.32,42.47,58.0,0.0
1990-04-29,29.55,16.69,43.67,56.58,0.0
1990-04-30,34.75,25.35,47.71,53.58,0.0
1990-05-01,29.98,16.61,45.02,59.0,0.0
1990-05-02,32.96,23.25,45.45,62.71,0.0
1990-05-03,40.21,33.86,48.34,75.33,6.69
1990-05-04,37.78,28.11,49.55,72.17,0.0
1990-05-05,41.64,35.18,48.95,68.04,0.0
1990-05-06,46.27,41.94,51.39,67.92,0.0
1990-05-07,40.39,30.83,48.17,66.25,0.0
1990-05-08,35.58,21.87,52.24,63.29,0.0
1990-05-09,35.2,23.87,50.72,87.25,26.1
1990-05-10,35.99,25.69,49.36,69.33,4.5
1990-05-11,31.92,18.45,47.56,59.33,0.0
1990-05-12,33.66,21.2,46.39,64.08,0.0
1990-05-13,37.31,28.5,46.68,72.71,0.21
1990-05-14,28.1,13.82,42.3,59.79,0.0
1990-05-15,26.06,12.21,41.39,56.46,0.0
1990-05-16,29.06,17.57,41.53,58.5,0.0
1990-05-17,28.65,17.72,41.81,56.54,0.0
1990-05-18,39.75,32.43,49.47,61.25,0.0
1990-05-19,34.92,23.04,51.94,58.67,0.0
1990-05-20,38.37,30.27,48.5,64.88,0.0
1990-05-21,38.12,27.71,49.45,54.29,0.0
1990-05-22,36.38,21.76,55.34,53.79,0.0
1990-05-23,40.68,31.79,53.66,56.08,0.0
1990-05-24,36.1,25.93,47.19,63.25,0.0
1990-05-25,34.34,20.73,53.63,53.0,0.0
1990-05-26,36.44,28.18,47.7,76.29,0.23
1990-05-27,26.67,13.41,40.56,59.29,0.0
1990-05-28,25.56,12.21,41.34,60.0,0.0
1990-05-29,23.6,14.05,35.45,82.67,4.72
1990-05-30,22.04,13.22,34.2,77.5,2.49
1990-05-31,16.91,4.99,34.53,58.12,0.0
1990-06-01,28.26,20.53,41.24,54.25,0.0
1990-06-02,27.77,15.3,44.76,68.71,0.0
1990-06-03,27.85,15.6,45.84,82.21,7.96
1990-06-04,27.97,17.89,42.59,82.5,6.18
1990-06-05,19.69,9.07,33.98,71.75,0.0
1990-06-06,21.07,9.87,39.3,59.71,0.0
1990-06-07,28.78,22.22,40.67,56.88,0.0
1990-06-08,26.77,17.62,42.25,54.0,0.0
1990-06-09,27.1,16.92,43.42,58.54,0.0
1990-06-10,33.27,26.53,45.29,60.12,0.0
1990-06-11,28.22,17.27,40.64,66.46,0.21
1990-06-12,29.49,18.61,42.25,74.5,0.0
1990-06-13,35.94,30.51,42.81,70.83,0.0
1990-06-14,42.22,37.83,47.99,73.58,0.0
1990-06-15,36.11,24.43,52.04,60.88,0.0
1990-06-16,36.36,25.2,53.19,64.83,0.0
1990-06-17,36.64,27.4,49.84,62.54,0.0
1990-06-18,31.69,21.15,47.06,70.33,0.0
1990-06-19,38.73,32.1,46.45,63.42,0.0
1990-06-20,33.35,22.13,48.93,53.88,0.0
1990-06-21,35.22,24.31,51.91,59.96,0.0
1990-06-22,31.69,19.52,49.11,77.83,3.34
1990-06-23,27.83,16.29,42.66,83.54,5.34
1990-06-24,23.08,12.84,40.33,56.21,0.0
1990-06-25,29.07,21.86,40.82,67.08,0.0
1990-06-26,25.98,14.46,43.36,64.83,0.0
1990-06-27,27.44,16.71,43.17,63.54,0.0
1990-06-28,30.15,20.61,42.74,62.33,0.0
1990-06-29,30.43,19.73,44.12,57.12,0.0
1990-06-30,31.15,22.76,41.55,61.71,0.0
1990-07-01,32.53,23.42,44.29,68.71,0.0
1990-07-02,27.45,13.71,42.79,71.71,1.34
1990-07-03,33.1,20.23,50.53,58.96,0.0
1990-07-04,36.44,27.61,49.42,62.33,0.0
1990-07-05,32.31,20.73,49.16,62.96,0.0
1990-07-06,29.35,16.74,46.52,64.04,0.0
1990-07-07,29.3,19.52,41.97,85.33,7.59
1990-07-08,23.57,13.02,38.96,94.83,9.88
1990-07-09,18.01,6.43,31.98,74.58,0.0
1990-07-10,26.1,18.07,38.77,62.71,0.0
1990-07-11,28.43,16.04,46.65,64.83,0.0
1990-07-12,27.54,16.52,44.42,60.54,0.0
1990-07-13,27.65,16.55,42.54,68.0,0.0
1990-07-14,24.15,10.3,40.7,82.83,7.76
1990-07-15,17.67,4.76,33.29,76.04,0.57
1990-07-16,22.3,14.84,32.3,76.25,14.76
1990-07-17,17.91,5.65,33.86,82.5,16.98
1990-07-18,4.59,-7.19,21.36,52.96,0.0
1990-07-19,11.74,2.72,26.66,48.08,0.0
1990-07-20,14.92,3.4,29.09,62.75,0.0
1990-07-21,8.62,-5.94,27.57,55.04,0.0
1990-07-22,21.79,11.1,38.42,38.67,0.0
1990-07-23,12.87,1.02,28.52,61.0,0.0
1990-07-24,28.4,17.46,44.02,61.12,1.58
1990-07-25,32.23,23.69,43.99,71.25,0.33
1990-07-26,21.15,11.41,34.29,72.42,0.0
1990-07-27,16.94,4.52,36.53,54.42,0.0
