dt,temp,temp_min,temp_max,humidity,snowfall
1990-01-01,58.55,58.55,58.55,74.33,0.0
1990-01-02,60.58,60.58,60.58,76.46,0.0
1990-01-03,61.66,61.66,61.66,79.12,0.0
1990-01-04,62.28,62.28,62.28,69.67,0.0
1990-01-05,64.27,64.27,64.27,60.5,0.0
1990-01-06,62.63,62.63,62.63,63.79,0.0
1990-01-07,54.45,54.45,54.45,72.25,0.0
1990-01-08,56.67,56.67,56.67,66.21,0.0
1990-01-09,57.01,57.01,57.01,80.38,0.0
1990-01-10,48.67,48.67,48.67,89.67,0.0
1990-01-11,48.73,48.73,48.73,88.42,0.0
1990-01-12,55.75,55.75,55.75,76.58,0.0
1990-01-13,60.52,60.52,60.52,71.71,0.0
1990-01-14,60.74,60.74,60.74,75.04,0.0
1990-01-15,62.4,62.4,62.4,79.38,0.0
1990-01-16,57.62,57.62,57.62,90.21,0.0
1990-01-17,61.67,61.67,61.67,64.25,0.0
1990-01-18,65.69,65.69,65.69,51.5,0.0
1990-01-19,63.49,63.49,63.49,71.88,0.0
1990-01-20,56.78,56.78,56.78,81.08,0.0
1990-01-21,60.36,60.36,60.36,73.08,0.0
1990-01-22,60.11,60.11,60.11,82.38,0.0
1990-01-23,62.46,62.46,62.46,77.33,0.0
1990-01-24,60.14,60.14,60.14,82.0,0.0
1990-01-25,58.45,58.45,58.45,86.79,0.0
1990-01-26,61.46,61.46,61.46,84.62,0.0
1990-01-27,63.56,63.56,63.56,73.79,0.0
1990-01-28,61.22,61.22,61.22,80.92,0.0
1990-01-29,61.7,61.7,61.7,79.92,0.0
1990-01-30,62.45,62.45,62.45,79.71,0.0
1990-01-31,65.4,65.4,65.4,71.83,0.0
1990-02-01,65.51,65.51,65.51,77.12,0.0
1990-02-02,63.27,63.27,63.27,83.62,0.0
1990-02-03,63.29,63.29,63.29,73.21,0.0
1990-02-04,59.53,59.53,59.53,79.92,0.0
1990-02-05,59.16,59.16,59.16,84.29,0.0
1990-02-06,57.65,57.65,57.65,76.12,0.0
1990-02-07,56.51,56.51,56.51,82.04,0.0
1990-02-08,57.23,57.23,57.23,76.5,0.0
1990-02-09,57.32,57.32,57.32,82.38,0.0
1990-02-10,53.05,53.05,53.05,89.71,0.0
1990-02-11,54.81,54.81,54.81,75.25,0.0
1990-02-12,56.77,56.77,56.77,74.46,0.0
1990-02-13,58.12,58.12,58.12,79.67,0.0
1990-02-14,53.85,53.85,53.85,89.79,0.0
1990-02-15,53.47,53.47,53.47,88.75,0.0
1990-02-16,54.88,54.88,54.88,77.88,0.0
1990-02-17,57.85,57.85,57.85,69.04,0.0
1990-02-18,61.34,61.34,61.34,52.08,0.0
1990-02-19,62.26,62.26,62.26,47.79,0.0
1990-02-20,63.95,63.95,63.95,48.79,0.0
1990-02-21,52.61,52.61,52.61,81.04,0.0
1990-02-22,45.51,45.51,45.51,64.96,0.0
1990-02-23,51.11,51.11,51.11,54.38,0.0
1990-02-24,52.18,52.18,52.18,58.42,0.0
1990-02-25,57.98,57.98,57.98,58.29,0.0
1990-02-26,57.23,57.23,57.23,77.96,0.0
1990-02-27,57.64,57.64,57.64,77.83,0.0
1990-02-28,58.64,58.64,58.64,75.75,0.0
1990-03-01,59.54,59.54,59.54,63.75,0.0
