dt,temp,temp_min,temp_max,humidity,snowfall
1990-01-01,32.98,32.98,32.98,95.0,12.1
1990-01-02,27.54,27.54,27.54,91.5,9.9
1990-01-03,30.13,30.13,30.13,91.08,0.53
1990-01-04,34.82,34.82,34.82,91.79,4.85
1990-01-05,38.99,38.99,38.99,94.33,0.0
1990-01-06,38.96,38.96,38.96,92.08,0.0
1990-01-07,41.34,41.34,41.34,90.17,0.0
1990-01-08,38.35,38.35,38.35,92.25,6.67
1990-01-09,42.45,42.45,42.45,85.83,9.21
1990-01-10,35.33,35.33,35.33,89.79,4.73
1990-01-11,32.83,32.83,32.83,92.08,2.23
1990-01-12,30.22,30.22,30.22,91.29,0.0
1990-01-13,33.63,33.63,33.63,92.12,4.13
1990-01-14,35.07,35.07,35.07,95.08,0.49
1990-01-15,34.31,34.31,34.31,95.08,1.8
1990-01-16,31.7,31.7,31.7,92.88,0.58
1990-01-17,26.67,26.67,26.67,89.58,0.0
1990-01-18,24.01,24.01,24.01,89.58,0.0
1990-01-19,25.62,25.62,25.62,92.29,0.0
1990-01-20,23.48,23.48,23.48,76.38,0.0
1990-01-21,30.48,30.48,30.48,88.96,0.0
1990-01-22,35.09,35.09,35.09,88.17,9.95
1990-01-23,33.52,33.52,33.52,89.12,22.18
1990-01-24,25.41,25.41,25.41,88.46,0.51
1990-01-25,34.43,34.43,34.43,77.17,3.06
1990-01-26,28.13,28.13,28.13,89.04,18.54
1990-01-27,28.66,28.66,28.66,91.75,14.87
1990-01-28,34.94,34.94,34.94,87.33,9.36
1990-01-29,33.0,33.0,33.0,87.42,14.82
1990-01-30,31.91,31.91,31.91,83.83,14.11
1990-01-31,29.57,29.57,29.57,86.67,8.74
1990-02-01,30.3,30.3,30.3,89.83,14.74
1990-02-02,34.2,34.2,34.2,89.88,6.71
1990-02-03,33.84,33.84,33.84,83.75,5.33
1990-02-04,29.54,29.54,29.54,84.12,4.27
1990-02-05,30.27,30.27,30.27,86.62,10.56
1990-02-06,27.55,27.55,27.55,87.67,9.09
1990-02-07,22.97,22.97,22.97,92.67,8.76
1990-02-08,32.28,32.28,32.28,90.96,25.07
1990-02-09,35.76,35.76,35.76,93.21,4.72
1990-02-10,40.92,40.92,40.92,90.83,0.0
