dt,temp,temp_min,temp_max,humidity,snowfall
1990-01-01,6.01,5.08,7.02,50.62,0.0
1990-01-02,11.84,6.29,16.16,51.88,0.0
1990-01-03,14.34,6.5,19.59,42.88,0.0
1990-01-04,15.16,5.3,20.41,44.75,0.0
1990-01-05,13.71,5.18,18.52,44.17,0.0
1990-01-06,15.77,7.55,19.32,66.5,0.0
1990-01-07,10.39,5.75,15.04,71.21,0.0
1990-01-08,12.28,5.62,16.88,43.46,0.0
1990-01-09,13.45,5.84,19.0,40.67,0.0
1990-01-10,15.99,7.94,20.33,57.79,0.0
1990-01-11,17.19,8.46,21.66,51.62,0.0
1990-01-12,17.55,8.15,21.86,43.12,0.0
1990-01-13,18.91,8.79,23.45,51.62,0.0
1990-01-14,19.05,8.87,22.86,67.5,0.0
1990-01-15,18.66,10.28,22.7,54.96,0.0
1990-01-16,34.11,20.47,38.42,64.21,0.0
1990-01-17,32.29,16.25,36.75,77.5,0.0
1990-01-18,24.92,13.74,28.71,74.96,0.0
1990-01-19,21.38,11.57,25.67,51.21,0.0
1990-01-20,24.56,12.66,28.8,32.96,0.0
1990-01-21,24.34,18.08,26.92,70.04,0.0
1990-01-22,27.56,16.83,31.34,62.33,0.0
1990-01-23,29.69,16.98,33.65,48.25,0.0
1990-01-24,32.01,23.04,35.81,73.67,2.71
1990-01-25,30.76,22.73,34.48,85.88,0.56
1990-01-26,28.79,21.83,31.64,80.56,9.2
1990-01-27,23.38,17.95,26.86,77.04,0.14
1990-01-28,30.52,20.01,34.03,88.17,9.13
1990-01-29,28.89,20.62,33.04,87.5,0.36
1990-01-30,29.42,22.38,33.14,88.46,1.0
1990-01-31,27.96,20.86,32.12,73.96,1.03
1990-02-01,33.11,25.49,36.56,88.33,1.22
1990-02-02,30.73,23.34,33.88,89.62,0.69
1990-02-03,27.45,20.04,31.81,71.21,0.44
1990-02-04,28.69,21.88,32.45,53.38,0.0
1990-02-05,28.59,19.59,32.69,35.96,0.0
1990-02-06,27.02,19.23,30.95,58.58,0.0
1990-02-07,29.58,22.92,33.14,65.25,0.0
1990-02-08,34.63,24.57,38.56,71.17,0.0
1990-02-09,27.9,22.25,33.5,69.29,0.0
1990-02-10,23.39,18.6,27.37,64.96,4.81
1990-02-11,22.61,18.0,26.3,81.21,6.28
1990-02-12,21.43,16.09,25.29,81.25,11.57
1990-02-13,23.63,18.64,28.09,87.29,19.5
1990-02-14,36.49,29.94,39.12,93.56,22.47
1990-02-15,38.1,32.67,41.55,90.82,0.28
1990-02-16,31.69,25.0,35.16,86.79,14.3
1990-02-17,34.54,27.33,38.39,82.21,0.0
1990-02-18,34.64,26.04,38.67,52.33,0.0
1990-02-19,36.46,26.74,40.37,45.5,0.0
1990-02-20,36.35,27.99,40.13,55.12,0.0
1990-02-21,38.4,29.81,42.45,61.17,0.0
1990-02-22,37.55,30.8,41.42,60.88,0.0
1990-02-23,37.27,30.1,40.88,53.62,0.0
1990-02-24,37.72,30.61,41.81,50.67,0.0
1990-02-25,37.24,29.84,41.1,47.5,0.0
1990-02-26,35.12,28.99,38.79,80.42,4.83
1990-02-27,32.34,27.78,36.45,87.4,25.29
1990-02-28,30.56,25.53,34.25,87.46,20.83
1990-03-01,31.41,26.53,35.57,84.42,9.85
1990-03-02,20.63,15.75,25.89,77.79,1.31
1990-03-03,19.0,12.51,24.09,68.92,0.0
1990-03-04,21.36,16.75,25.9,37.96,0.0
1990-03-05,27.67,22.96,31.61,23.75,0.0
1990-03-06,30.08,24.47,34.84,16.42,0.0
1990-03-07,35.82,29.53,40.05,20.79,0.0
1990-03-08,36.4,29.83,39.94,59.21,0.0
1990-03-09,36.21,30.41,40.28,85.4,4.47
1990-03-10,37.01,30.46,41.63,66.08,0.0
1990-03-11,44.03,37.42,48.92,36.12,0.0
1990-03-12,42.04,34.56,47.16,44.17,0.0
1990-03-13,42.36,36.13,47.0,75.67,0.0
1990-03-14,40.68,34.17,44.42,85.44,0.0
1990-03-15,41.99,35.38,45.93,83.0,0.0
1990-03-16,39.48,32.9,44.84,64.71,0.0
1990-03-17,37.15,31.12,42.11,82.04,0.0
1990-03-18,38.53,33.15,42.51,82.12,0.0
1990-03-19,39.71,33.7,44.0,69.71,0.15
1990-03-20,40.42,32.58,44.44,63.12,0.0
1990-03-21,45.14,38.59,49.23,74.12,0.0
1990-03-22,48.6,42.53,53.27,53.0,0.0
1990-03-23,41.81,35.96,46.06,84.25,0.0
1990-03-24,41.37,35.62,45.56,85.71,0.0
1990-03-25,35.03,29.29,38.59,81.0,0.5
1990-03-26,26.45,22.21,31.57,76.54,3.74
1990-03-27,27.32,22.0,31.42,81.83,3.36
1990-03-28,29.72,24.51,32.85,83.12,3.7
1990-03-29,30.94,25.47,35.69,74.25,0.57
1990-03-30,35.0,28.94,39.49,72.46,0.0
1990-03-31,39.65,31.81,43.81,61.25,0.0
1990-04-01,41.41,34.97,44.83,78.58,0.0
1990-04-02,39.83,34.63,43.44,84.14,0.35
1990-04-03,39.33,31.86,42.57,92.36,0.31
1990-04-04,36.11,28.99,39.47,70.5,0.0
1990-04-05,37.24,30.01,40.86,91.58,1.18
1990-04-06,36.45,30.07,40.78,93.62,5.35
1990-04-07,40.72,31.99,43.61,95.65,0.0
1990-04-08,38.32,31.73,43.15,92.46,0.0
1990-04-09,35.86,28.94,40.67,95.25,0.98
1990-04-10,34.21,28.18,38.11,82.5,0.0
1990-04-11,33.56,27.5,37.98,84.64,0.11
1990-04-12,33.18,28.43,38.39,80.79,0.48
1990-04-13,38.19,32.63,43.12,79.38,0.0
1990-04-14,36.07,29.66,39.66,93.1,5.77
1990-04-15,30.7,24.36,34.79,86.33,4.97
1990-04-16,30.88,26.39,35.56,73.75,0.0
1990-04-17,33.37,27.04,36.97,78.04,0.1
1990-04-18,28.25,23.86,32.29,80.58,6.6
1990-04-19,32.1,26.34,35.7,75.46,1.32
1990-04-20,31.75,24.81,36.07,89.79,24.17
1990-04-21,36.16,30.19,40.35,82.67,0.76
1990-04-22,35.5,29.26,39.43,86.56,3.58
1990-04-23,35.16,29.23,38.67,88.12,3.28
1990-04-24,36.57,30.11,40.37,76.46,0.0
1990-04-25,38.66,32.87,42.38,70.67,0.0
1990-04-26,37.16,32.71,41.26,76.83,0.0
1990-04-27,38.0,32.97,42.26,77.04,0.0
1990-04-28,42.77,37.49,48.36,70.38,0.0
1990-04-29,45.35,40.4,49.5,65.46,0.0
1990-04-30,46.19,41.1,49.94,66.62,0.0
1990-05-01,49.75,43.77,54.14,68.38,0.0
1990-05-02,51.65,45.87,55.16,75.08,0.0
1990-05-03,49.87,44.62,53.24,83.58,0.0
1990-05-04,50.0,44.85,54.29,78.96,0.0
1990-05-05,49.39,43.83,52.78,84.25,0.0
1990-05-06,47.78,41.21,51.08,84.83,0.0
1990-05-07,47.72,41.78,51.2,83.04,0.0
1990-05-08,47.94,42.14,52.01,85.79,0.0
1990-05-09,48.89,43.47,52.41,84.5,0.0
1990-05-10,49.02,43.53,53.19,85.67,0.0
1990-05-11,46.92,41.7,50.45,90.31,0.0
